ranker,team,g,rushtd,rectd,prtd,krtd,frtd,ditd,otd,alltd,two_pt_md,two_pt_att,def_two_pt,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,season
1,Baltimore Ravens,17,26,27,1.0,,,1.0,,55,2.0,2,,51,52,32,37,1.0,483,28.4,2023
2,Kansas City Chiefs,17,9,28,,,2.0,,,39,,1,,38,38,33,35,,371,21.8,2023
3,San Francisco 49ers,17,27,33,,,,1.0,,61,,0,,60,61,21,25,1.0,491,28.9,2023
4,Buffalo Bills,17,22,29,1.0,,,2.0,,54,3.0,4,,49,50,24,29,,451,26.5,2023
5,Dallas Cowboys,17,14,36,,,1.0,5.0,1.0,57,4.0,5,,49,52,36,38,1.0,509,29.9,2023
6,Pittsburgh Steelers,17,16,13,,,1.0,1.0,,31,1.0,3,,27,28,29,31,1.0,304,17.9,2023
7,Tampa Bay Buccaneers,17,8,28,,,,1.0,,37,2.0,4,,33,33,29,31,1.0,348,20.5,2023
8,New Orleans Saints,17,13,28,1.0,,1.0,1.0,,44,4.0,4,,40,40,30,37,,402,23.6,2023
9,Las Vegas Raiders,17,11,20,,,2.0,3.0,,36,2.0,4,,32,32,26,30,1.0,332,19.5,2023
10,Green Bay Packers,17,10,32,,,1.0,1.0,,44,2.0,5,,34,39,27,33,,383,22.5,2023
11,Houston Texans,17,10,27,,2.0,1.0,,,40,2.0,7,,31,33,34,38,,377,22.2,2023
12,New York Jets,17,7,11,1.0,,1.0,2.0,,22,3.0,4,,16,17,36,39,3.0,268,15.8,2023
13,Minnesota Vikings,17,7,30,,,2.0,,,39,1.0,1,,36,38,24,30,,344,20.2,2023
14,Cleveland Browns,17,15,24,,,1.0,2.0,,42,6.0,9,,30,33,34,37,,396,23.3,2023
15,New England Patriots,17,9,16,,1.0,1.0,,,27,,2,,24,25,16,25,1.0,236,13.9,2023
16,Tennessee Titans,17,16,14,,,,1.0,,31,1.0,1,1.0,28,30,29,30,,305,17.9,2023
17,Jacksonville Jaguars,17,17,22,,,,2.0,,41,3.0,6,,35,35,30,37,,377,22.2,2023
18,Atlanta Falcons,17,14,17,,,,1.0,,32,2.0,4,,27,28,32,37,1.0,321,18.9,2023
19,Los Angeles Rams,17,18,26,,,,,,44,4.0,6,,32,37,32,43,2.0,404,23.8,2023
20,Chicago Bears,17,16,19,,,,2.0,,37,1.0,4,,31,33,35,38,,360,21.2,2023
21,Cincinnati Bengals,17,12,27,1.0,,,1.0,,41,1.0,1,,40,40,26,31,,366,21.5,2023
22,Miami Dolphins,17,27,30,,,,4.0,,61,,2,,58,59,24,28,,496,29.2,2023
23,Detroit Lions,17,27,30,,,,1.0,,58,3.0,6,,48,52,19,21,1.0,461,27.1,2023
24,Los Angeles Chargers,17,11,24,1.0,,,,,36,1.0,1,,35,35,31,33,,346,20.4,2023
25,Seattle Seahawks,17,11,23,,,,3.0,,37,2.0,3,,33,33,35,42,,364,21.4,2023
26,New York Giants,17,10,15,1.0,,,3.0,,29,1.0,4,,24,25,22,31,,266,15.6,2023
27,Denver Broncos,17,8,28,,1.0,1.0,,,38,4.0,7,,29,31,30,34,1.0,357,21.0,2023
28,Indianapolis Colts,17,19,18,,,1.0,3.0,1.0,42,4.0,5,,35,36,33,41,1.0,396,23.3,2023
29,Carolina Panthers,17,7,13,1.0,,,2.0,,23,3.0,3,,17,20,25,30,,236,13.9,2023
30,Philadelphia Eagles,17,22,24,,,1.0,2.0,,49,1.0,2,,45,46,30,32,1.0,433,25.5,2023
31,Arizona Cardinals,17,17,18,,,1.0,,,36,4.0,13,,22,23,28,33,,330,19.4,2023
32,Washington Commanders,17,14,24,,,1.0,,,39,3.0,4,,32,35,19,24,,329,19.4,2023
