ranker,team,g,drives,play_count_tip,score_pct,turnover_pct,plays_per_drive,yds_per_drive,start_avg,time_avg,points_avg,season
1,Cleveland Browns,17,201,1145,22.4,15.9,5.7,25.4,Own 29.0,2:33,1.21,2024
2,Indianapolis Colts,17,194,1078,36.6,14.9,5.6,29.3,Own 28.9,2:27,1.92,2024
3,Houston Texans,17,193,1100,36.8,9.3,5.7,28.1,Own 31.8,2:43,1.83,2024
4,Las Vegas Raiders,17,191,1105,33.0,15.2,5.8,26.9,Own 29.5,2:37,1.6,2024
5,Tennessee Titans,17,191,1059,30.4,16.8,5.5,26.9,Own 29.5,2:45,1.6,2024
6,Minnesota Vikings,17,191,1096,41.4,10.5,5.7,30.8,Own 31.3,2:43,2.16,2024
7,Denver Broncos,17,190,1089,38.4,10.0,5.7,29.0,Own 32.5,2:41,2.04,2024
8,Dallas Cowboys,17,189,1151,36.5,14.3,6.1,29.3,Own 29.6,2:38,1.71,2024
9,Pittsburgh Steelers,17,187,1110,39.6,8.6,5.9,28.4,Own 31.6,2:46,1.91,2024
10,Carolina Panthers,17,186,1019,33.3,11.8,5.5,27.2,Own 30.3,2:34,1.86,2024
11,New York Giants,17,183,1091,27.9,12.0,6.0,27.3,Own 30.3,2:48,1.45,2024
12,Seattle Seahawks,17,182,1052,35.2,9.9,5.8,30.4,Own 27.8,2:42,1.89,2024
13,Philadelphia Eagles,17,182,1150,44.5,6.6,6.3,34.2,Own 31.7,3:01,2.5,2024
14,Miami Dolphins,17,182,1123,39.0,11.0,6.2,30.1,Own 30.3,2:58,1.92,2024
15,Los Angeles Chargers,17,182,1055,42.9,4.4,5.8,29.9,Own 29.5,2:51,2.14,2024
16,Detroit Lions,17,182,1147,51.6,8.2,6.3,38.3,Own 31.0,3:02,3.04,2024
17,Chicago Bears,17,181,1090,29.8,7.7,6.0,26.6,Own 29.8,2:50,1.62,2024
18,New Orleans Saints,17,181,1063,34.8,9.4,5.9,30.0,Own 31.1,2:39,1.84,2024
19,Green Bay Packers,17,181,1065,45.9,9.9,5.9,34.8,Own 32.0,2:52,2.5,2024
20,Baltimore Ravens,17,181,1085,47.0,6.1,6.0,39.7,Own 28.5,2:56,2.8,2024
21,Tampa Bay Buccaneers,17,181,1126,48.1,12.7,6.2,37.4,Own 29.7,3:03,2.7,2024
22,Cincinnati Bengals,17,181,1113,43.6,10.5,6.1,34.3,Own 31.4,2:55,2.5,2024
23,New England Patriots,17,178,1060,30.9,12.9,6.0,27.8,Own 29.8,2:48,1.58,2024
24,Jacksonville Jaguars,17,177,1021,33.3,13.0,5.8,29.4,Own 27.6,2:36,1.72,2024
25,Washington Commanders,17,176,1143,50.0,8.0,6.5,35.6,Own 31.8,2:59,2.73,2024
26,San Francisco 49ers,17,175,1069,41.7,13.7,6.1,36.5,Own 29.2,2:58,2.17,2024
27,New York Jets,17,173,1038,34.1,10.4,6.0,30.4,Own 29.0,2:51,1.92,2024
28,Buffalo Bills,17,173,1054,49.7,4.6,6.1,35.4,Own 33.4,2:56,2.92,2024
29,Los Angeles Rams,17,169,1074,39.1,8.3,6.4,33.3,Own 29.7,2:58,2.05,2024
30,Kansas City Chiefs,17,169,1128,43.2,8.3,6.7,33.0,Own 30.1,3:08,2.27,2024
31,Atlanta Falcons,17,169,1116,39.6,13.6,6.6,36.6,Own 28.6,2:59,2.11,2024
32,Arizona Cardinals,17,168,1074,44.6,11.9,6.4,36.3,Own 28.1,3:01,2.32,2024
