feature,importance,importance_pct,cumsum,cumsum_pct
rush_td,0.01885054433695617,14.190567575712256,0.01885054433695617,14.190567575712256
plays,0.014643910608704616,11.023840975144335,0.033494454945660786,25.214408550856593
punt_yards_per_punt,0.010685130063330535,8.043696643905518,0.04417958500899132,33.25810519476211
fumbles_recovered,0.007978408587446237,6.006094263539994,0.05215799359643756,39.26419945830211
opp_3d_pct,0.007565516004324064,5.695271403596435,0.05972350960076162,44.95947086189854
hurries_made,0.007454593626013715,5.611769756273401,0.06717810322677534,50.57124061817194
opp_4d_pct,0.0071748832006823865,5.401205561343827,0.07435298642745772,55.972446179515764
blitzes_faced,0.006066222425212949,4.566612916610631,0.08041920885267066,60.539059096126394
seconds_per_play,0.005555093136761004,4.181838101727262,0.08597430198943166,64.72089719785366
sacks_made,0.005104433163988868,3.8425841956873126,0.09107873515342053,68.56348139354097
fumbles_lost,0.00461183832488088,3.4717619941180535,0.09569057347830141,72.03524338765902
turnovers_take,0.004308441857002741,3.2433670999071453,0.09999901533530416,75.27861048756617
yards_per_play_allowed,0.0040593288199348675,3.0558364205106803,0.10405834415523903,78.33444690807684
opp_first_downs_rush,0.004013294588556715,3.021182149552205,0.10807163874379574,81.35562905762906
rush_ypa,0.0037081234296357517,2.791451279428927,0.1117797621734315,84.14708033705797
hurries_allowed,0.003331312170512945,2.507790206290133,0.11511107434394444,86.65487054334811
opp_first_downs_pen,0.0027589559851656635,2.076924180335417,0.1178700303291101,88.73179472368354
punts_blocked,0.0026285823900811115,1.97877978311985,0.12049861271919121,90.71057450680338
opp_first_downs,0.002397697869974469,1.8049714131230263,0.12289631058916568,92.5155459199264
opp_4d_att,0.002154963265917381,1.622242376748045,0.12505127385508308,94.13778829667446
blitzes_sent,0.0014089938017092885,1.0606813999379663,0.12646026765679236,95.19846969661242
rush_yds,0.0010859543327067223,0.8174993818189433,0.12754622198949908,96.01596907843137
opp_first_downs_pass,0.0008189017241245687,0.6164639092821751,0.12836512371362366,96.63243298771354
penalties,0.0007475505745521917,0.5627512264273594,0.12911267428817585,97.19518421414091
pressures_made,0.0004829108786048837,0.36353217888007733,0.12959558516678074,97.55871639302099
pressures_allowed,0.0004152063559055736,0.31256465309556514,0.13001079152268633,97.87128104611656
penalty_yards,0.0003294941654416542,0.24804107175494444,0.13034028568812797,98.1193221178715
yards_per_play,0.00031036495339880217,0.2336407249367341,0.13065065064152678,98.35296284280824
ints_thrown,0.00029538810348343997,0.22236624940986105,0.13094603874501023,98.57532909221811
punt_yards,0.0002905471043563679,0.2187219766494187,0.1312365858493666,98.79405106886753
turnovers_give,0.00028696337520264434,0.2160241685744941,0.13152354922456924,99.01007523744202
sacks_allowed,0.00027760141154474076,0.20897654302299268,0.13180115063611397,99.21905178046501
rush_att,0.0002530176832248721,0.1904700717110678,0.13205416831933883,99.40952185217607
opp_3d_conv,0.00020137755185231648,0.1515957155777936,0.13225554587119115,99.56111756775385
punts,0.00019685919080354974,0.14819432267115545,0.1324524050619947,99.70931189042503
opp_4d_conv,0.00018282162390506775,0.13762693331036338,0.13263522668589978,99.84693882373539
ints_got,0.00015958611786638855,0.12013539499168857,0.13279481280376618,99.96707421872708
opp_3d_att,4.3738130726831616e-05,0.03292578127293809,0.132838550934493,100.00000000000003
